2025-01-29 16:58:57 [main] INFO  Main - Starting the application...
2025-01-29 16:58:57 [pool-2-thread-2] INFO  Producer - Produced task 0
2025-01-29 16:58:57 [pool-2-thread-4] INFO  Consumer - Consumed task 0
2025-01-29 16:58:57 [pool-2-thread-3] INFO  Consumer - Consumed task 0
2025-01-29 16:58:57 [pool-2-thread-1] INFO  Producer - Produced task 0
2025-01-29 16:58:57 [pool-2-thread-1] INFO  Producer - Produced task 1
2025-01-29 16:58:57 [pool-2-thread-4] INFO  Consumer - Consumed task 1
2025-01-29 16:58:57 [pool-2-thread-2] INFO  Producer - Produced task 1
2025-01-29 16:58:57 [pool-2-thread-3] INFO  Consumer - Consumed task 1
2025-01-29 16:58:57 [pool-2-thread-2] INFO  Producer - Produced task 2
2025-01-29 16:58:57 [pool-2-thread-1] INFO  Producer - Produced task 2
2025-01-29 16:58:57 [pool-2-thread-3] INFO  Consumer - Consumed task 2
2025-01-29 16:58:57 [pool-2-thread-4] INFO  Consumer - Consumed task 2
2025-01-29 16:58:57 [pool-2-thread-2] INFO  Producer - Produced task 3
2025-01-29 16:58:57 [pool-2-thread-4] INFO  Consumer - Consumed task 3
2025-01-29 16:58:57 [pool-2-thread-1] INFO  Producer - Produced task 3
2025-01-29 16:58:57 [pool-2-thread-2] INFO  Producer - Produced task 4
2025-01-29 16:58:57 [pool-2-thread-1] INFO  Producer - Produced task 4
2025-01-29 16:58:57 [pool-2-thread-3] INFO  Consumer - Consumed task 3
2025-01-29 16:58:57 [pool-2-thread-4] INFO  Consumer - Consumed task 4
2025-01-29 16:58:57 [pool-2-thread-3] INFO  Consumer - Consumed task 4
2025-01-29 16:59:02 [main] INFO  Main - Execution completed.
